Date,High,Low,Mid,Last,Bid,Ask,Volume
2016-12-18,793.0,782.93,790.985,790.99,790.98,790.99,6201.31214317
2016-12-19,792.8,784.36,790.2,790.18,790.19,790.21,2433.2611579
2016-12-20,792.27,787.75,790.585,790.59,790.58,790.59,2151.08134575
2016-12-21,802.33,787.86,799.2,799.35,799.04,799.36,7009.01299556
2016-12-22,830.5,794.95,829.415,829.33,829.33,829.5,16203.08680088
2016-12-23,874.0,825.0,859.155,859.0,859.11,859.2,15262.5244032
2016-12-24,920.0,859.0,917.245,918.99,916.95,917.54,26019.0040387
2016-12-25,919.99,882.41,895.275,895.24,895.27,895.28,7388.14310165
2016-12-26,904.55,858.62,898.25,898.42,898.08,898.42,12059.32963465
2016-12-27,920.0,894.21,907.62,908.78,907.43,907.81,11814.81950152
2016-12-28,940.0,903.51,936.475,936.43,936.47,936.48,9178.73504832
2016-12-29,983.0,935.93,981.34,981.7,981.26,981.42,20823.10823446
2016-12-30,983.0,945.0,971.995,972.0,971.99,972.0,22590.70556827
2016-12-31,972.0,929.5,958.98,959.16,958.76,959.2,19324.27773831
2017-01-01,968.2,945.01,966.995,966.61,966.62,967.37,7147.77442294
2017-01-02,1006.5,961.26,998.29,999.24,997.34,999.24,13440.45626448
2017-01-03,1035.0,994.1,1019.45,1019.5,1019.3,1019.6,21804.19721597
2017-01-04,1040.0,1013.5,1038.5,1038.0,1038.0,1039.0,14128.62571394
2017-01-05,1150.0,1036.4,1138.65,1139.6,1138.6,1138.7,53698.69204086
2017-01-06,1166.0,850.79,1003.75,1003.4,1003.6,1003.9,91218.60067752
2017-01-07,1025.0,871.0,898.435,898.5,898.3,898.57,57391.66971367
2017-01-08,911.09,815.0,908.505,908.1,908.01,909.0,40623.60470508
2017-01-09,943.6,890.0,915.95,915.9,915.9,916.0,30721.60706478
2017-01-10,916.7,875.0,903.005,903.01,903.0,903.01,16587.32047481
2017-01-11,918.0,895.48,906.38,905.75,905.76,907.0,12138.49290567
2017-01-12,923.66,760.0,778.015,779.56,776.74,779.29,62866.22307066
2017-01-13,831.18,735.0,804.745,804.99,804.55,804.94,35863.46782828
